id,cluster,Lat,Lon
3,Resists cases,48.79640468,9.197359085
4,Reform cases,51.48822433,-0.109863281
5,Reform cases,43.71081975,7.242393494
6,Reform cases,54.57716781,11.28982544
8,Reform cases,45.76674461,4.980368614
9,Reform cases,38.86377092,-3.982200623
11,Resists cases,43.06186473,-2.27142334
14,Reform cases,43.68945814,5.756406784
17,Reform cases,37.933299,-122.392859
18,Transform cases,40.713663,-73.972376
22,Transform cases,30.021395,-90.828365
26,Resists cases,-1.5208,39.4809
27,Transform cases,-3.386735883,39.63479842
28,Reform cases,-2.28397868,36.13565292
29,Transform cases,-2.638532247,37.29034424
31,Reform cases,-1.333688444,36.82582855
32,Reform cases,-2.852519609,39.91607666
33,Reform cases,-1.974401605,39.79797363
35,Resists cases,0.383831968,33.01460266
36,Resists cases,0.009441367,34.07581329
37,Reform cases,-2.372,34.667
38,Reform cases,-0.432925873,37.93682098
40,Reform cases,0.605266757,37.24176407
43,Reform cases,-1.9308,40.9683
44,Reform cases,-2.169281355,40.91995239
45,Reform cases,-0.612819431,35.74298859
47,Reform cases,-1.929109293,40.13580322
48,Reform cases,-0.431037652,36.24544144
50,Reform cases,11.73662165,-70.1947403
53,Reform cases,43.24120121,-4.317626953
54,Transform cases,43.01669737,-4.751586914
55,Transform cases,51.05089108,-0.120763779
56,Reform cases,40.24494329,-3.473739624
57,Transform cases,43.22544272,-8.839530945
58,Resists cases,38.4611164,-6.387519836
59,Transform cases,41.48954914,2.181901932
60,Transform cases,37.85547413,-4.792098999
61,Transform cases,42.54127148,-6.776311398
63,Reform cases,40.49500373,0.626220703
64,Reform cases,39.7705475,-2.559814453
65,Transform cases,36.06630709,-5.684394836
66,Resists cases,54.28607207,-9.795684814
67,Reform cases,55.56669856,-3.82598877
68,Reform cases,55.81845148,-3.166465759
69,Transform cases,51.48394855,-0.465545654
70,Reform cases,40.36780072,-3.822898865
71,Reform cases,39.44606948,-0.339288712
75,Transform cases,37.98966904,-0.868606567
80,Reform cases,36.34942094,-5.479431152
81,Reform cases,43.271196,-2.032786
82,Resists cases,42.180251,2.540588379
83,Transform cases,43.062918259999996,-5.265197754
86,Reform cases,42.70867782,-10.39031982
88,Reform cases,19.38419043,-100.0775528
92,Transform cases,12.92961458,3.273925781
93,Transform cases,-40.39676431,-66.59912109
94,Reform cases,-18.89589256,47.50488281
96,Transform cases,-23.87767556,32.14805603
97,Reform cases,-31.70597142,147.840271
98,Resists cases,-24.55711616,-61.96838379
99,Resists cases,7.895775871,34.53274235
100,Resists cases,8.249886189,34.58393097
102,Reform cases,-3.8833,12.8333
103,Reform cases,-12.97578759,-38.51051331
104,Resists cases,8.055150423,33.21201324
108,Reform cases,-4.691404288,136.708374
109,Resists cases,5.0112,-9.0362
110,Resists cases,5.815147811,-9.810791016
111,Resists cases,4.563933499,-7.660217285
112,Transform cases,13.7929889,-5.990037918
113,Transform cases,14.00466256,-5.61693728
115,Transform cases,14.85885488,-6.00643158
117,Reform cases,-15.17138824,36.80368423
119,Transform cases,-19.9746798,33.3978796
121,Transform cases,-17.50434731,24.27454948
122,Transform cases,-6.328350778,-76.28803253
123,Resists cases,8.515665792,124.5666146
124,Reform cases,52.60471559,39.56451416
125,Resists cases,7.350975106,-11.71820641
126,Resists cases,8.878541949,-12.04517841
127,Reform cases,8.764714455,-12.7861762
132,Resists cases,4.240964663,30.71733356
133,Resists cases,14.17519175,106.7431641
134,Transform cases,-27.73641503,-71.03622437
135,Reform cases,41.85,-87.6527
140,Reform cases,36.211474,-119.100369
151,Reform cases,-4.89804545,35.79483032
152,Reform cases,-6.822807117,36.96350098
154,Resists cases,39.24750944,27.28184223
155,Reform cases,-28.95708472,31.75941467
156,Reform cases,0.446658379,33.18180084
158,Resists cases,5.894228118,36.63940438
159,Resists cases,19.7755149,30.36071777
161,Reform cases,31.41696436,31.81395471
162,Resists cases,8.235708503,34.64888133
163,Reform cases,6.544843234,-2.341248617
164,Reform cases,4.935749718,-1.706142426
169,Reform cases,31.37879444,31.51977539
170,Reform cases,7.613763169,-10.46181679
171,Reform cases,-9.974752142,39.57275391
172,Reform cases,-1.400211698,13.15807083
173,Reform cases,8.396793285,-10.7850793
174,Transform cases,12.64229073,-8.04998517
175,Reform cases,6.291258056,-10.77896118
178,Reform cases,8.586205951,29.98443604
179,Reform cases,4.021715807,30.70919037
180,Reform cases,-3.019927,39.954014
183,Reform cases,14.22798695,107.8294373
184,Reform cases,21.49603995,103.9949942
185,Reform cases,15.34047806,104.1523218
188,Reform cases,22.171189,75.650879
189,Resists cases,21.83345625,73.74023438
190,Transform cases,46.20407206,12.00968742
194,Resists cases,35.53222623,73.71894836
195,Reform cases,-29.652256,22.742386
196,Reform cases,-33.8635,18.4185
199,Reform cases,-7.871049593,145.1348877
203,Transform cases,-4.865975712,-65.29981613
204,Transform cases,-12.72687442,-39.1800034
205,Reform cases,-17.78694164,-39.29910388
206,Resists cases,-2.625928449,-60.94382286
207,Resists cases,-22.6602744,-42.84891129
208,Reform cases,-21.18409164,-47.90313721
209,Reform cases,-5.125311077,-60.37519455
211,Reform cases,-2.40804321,-56.30493164
212,Reform cases,-16.37812093,-39.58236694
214,Reform cases,-6.580031615,-51.06445313
215,Reform cases,-1.922246716,-48.75183105
217,Transform cases,-27.90326584,-49.12931442
219,Reform cases,-19.03193695,-43.4262085
220,Reform cases,-7.280741243,-64.81384277
221,Reform cases,-15.67857656,-38.95202637
222,Resists cases,-15.2735871,-39.06188965
223,Reform cases,-5.645369114,-38.23980331
227,Resists cases,-2.6572,-53
229,Transform cases,-16.6151378,-42.18612671
231,Transform cases,-7.123377624,-34.98046875
232,Reform cases,-19.02414743,-57.62775421
233,Transform cases,-19.98932026,-43.84712219
235,Reform cases,-9.534500486,-37.29444265
239,Reform cases,27.84260999,28.95996094
240,Resists cases,-31.196,30.081
241,Reform cases,35.65694122,10.06656647
242,Reform cases,1.548883581,11.61323547
250,Reform cases,21.18929354,-102.7057743
253,Resists cases,42.80202907,-1.360952854
271,Reform cases,37.50046568,-6.23336792
273,Transform cases,31.35363694,121.5527344
276,Reform cases,-0.738001,-69.852593
283,Resists cases,-19.27096164,32.04025269
284,Reform cases,-18.8833,32.6833
286,Resists cases,-19.79138889,32.95805556
287,Reform cases,-18.9333,27.7667
288,Resists cases,-20.8,32.2333
289,Reform cases,-18.917,29.817
291,Resists cases,-19.15722222,32.28222222
292,Reform cases,-18.9667,32.63333
293,Reform cases,-18.99888889,32.65388889
294,Reform cases,-19.033,29.783
295,Reform cases,-18.917,29.817
296,Reform cases,-26.16860358,28.74358177
297,Reform cases,39.61397851,2.657049894
298,Transform cases,51.05024361,6.43661499
301,Reform cases,51.81943938,14.55688477
302,Reform cases,51.57429575,14.17373657
303,Resists cases,51.52647465,14.51190948
304,Transform cases,53.51418452,10.06347656
305,Reform cases,51.91054955,14.64022636
307,Reform cases,53.00176888,9.229545593
308,Reform cases,-20.00690315,-43.65829468
309,Transform cases,-19.9391418,-44.01861191
310,Reform cases,-19.45688103,-41.09436035
311,Reform cases,8.643459,-72.734857
312,Reform cases,-12.52607729,27.84896851
321,Reform cases,41.73647896,23.47503662
322,Transform cases,43.04079077,27.87506104
324,Reform cases,41.88604883,23.47400665
326,Reform cases,42.35600691,23.56155396
328,Reform cases,43.44082995,27.83060074
329,Resists cases,42.34546929,25.52353978
332,Reform cases,43.20717779,23.53546143
333,Transform cases,42.18732024,24.33694839
336,Resists cases,42.29356419,25.93185425
337,Reform cases,41.467235,25.650072
341,Reform cases,-15.96264942,35.63690186
344,Resists cases,13.25063957,-87.63793945
345,Transform cases,-52.851,-71.916
346,Resists cases,-5.82388,-81.0322
347,Resists cases,-16.53,-71.6016
348,Resists cases,-10.74694444,-76.27361111
349,Reform cases,-15.19777778,-75.11388889
351,Reform cases,-28.56876842,-71.29629135
354,Transform cases,15.4748574,73.85009766
365,Reform cases,66.256,-166.0703
367,Reform cases,40.655121,-73.945731
368,Reform cases,30.318416,-91.237465
373,Reform cases,21.53173324,-105.2855444
374,Reform cases,54.22434948,17.09240913
376,Reform cases,54.00083779,-128.5527761
377,Resists cases,46.231641,27.66819
378,Resists cases,19.652288,83.371296
381,Resists cases,54.41704125,-126.7518401
382,Reform cases,50.14988139,-94.01318489
384,Transform cases,51.45027254,-123.6143826
